ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV5320,-14.62737693,37807.2283,-0.000386894,0.999691879,
ASV5324,-16.81378348,,,,
ASV5329,2.634635511,2.287493967,1.151756266,0.251472041,
ASV5334,-13.18495602,15062.37348,-0.000875357,0.999302868,
ASV5335,2.026568292,,,,
ASV5337,-0.708788008,5.40605548,-0.131110014,0.895884917,
ASV5338,1.350257999,0.68781135,1.963122592,0.051702946,0.363967494
ASV5339,3.903514045,1.734513043,2.250495642,0.026046885,
ASV5342,-2.958862206,2.391274151,-1.237358002,0.218118101,
ASV5344,-0.47778894,0.923950022,-0.517115567,0.605927998,0.941629169
ASV5345,-1.128414582,2.831459567,-0.398527528,0.690875676,0.941629169
ASV5353,0.154082924,0.354237141,0.434971114,0.664283121,0.941629169
ASV5361,-4.325046318,,,,
ASV5365,-4.654000799,,,,
ASV5368,-16.85379834,147307.3716,-0.000114412,0.999908882,
ASV5374,1.241408944,2.706481241,0.458680048,0.647207027,
ASV5382,0.508877501,1.088108642,0.467671592,0.640779146,
ASV5384,-4.876495746,1.570479079,-3.105100737,0.002321639,
ASV5385,0.366340771,1.253687588,0.292210575,0.770577564,0.941629169
ASV5405,-1.014475334,1.967299754,-0.515668917,0.606935427,
ASV5409,-5.121733058,1.658845818,-3.087528088,0.00245355,
ASV5429,-0.89965195,1.350457206,-0.666183235,0.506439265,
ASV5445,0.202886676,1.999643639,0.101461416,0.919335847,
ASV5449,-3.555671304,2.384329836,-1.491266539,0.138241901,
ASV5452,-20.06317157,367244.1103,-5.46E-05,0.999956491,
ASV5464,-0.522265003,3.288673596,-0.158807187,0.874059881,
ASV5466,1.181331153,192826.0172,6.13E-06,0.999995121,
ASV5469,0.17143698,0.869628494,0.197138182,0.844018112,0.941629169
ASV5475,-17.72337784,381891.3364,-4.64E-05,0.99996304,
ASV5509,5.255043075,1.83609186,2.862080699,0.004885285,
ASV5519,-6.906380366,,,,
ASV5524,-6.486327639,,,,
ASV5528,4.668817257,,,,
ASV5536,-2.639774159,1.903291506,-1.386952104,0.167759147,
ASV5537,-0.695975675,0.914032898,-0.761433944,0.447735896,0.941629169
ASV5538,-0.513832227,1.397560275,-0.367663733,0.713704057,0.941629169
ASV5547,-0.396406557,1.747900282,-0.226790144,0.820932539,0.941629169
ASV5549,0.420564377,3.138617692,0.133996688,0.893606234,
ASV5552,-0.007745923,2.390966009,-0.003239663,0.997419946,
ASV5553,4.045497776,1.376823547,2.938283401,0.003887172,
ASV5561,5.342228234,,,,
ASV5562,4.081406504,1.825153583,2.236198938,0.026992205,
ASV5563,3.831209828,0.933711145,4.103206701,7.04E-05,0.001344628
ASV5565,0.363813157,1.170023771,0.310945099,0.756325535,0.941629169
ASV5567,-0.742783564,1.500707546,-0.494955573,0.621442078,
ASV5571,-2.111192289,2.125755983,-0.993148934,0.322427384,
ASV5584,-19.43223609,432588.5312,-4.49E-05,0.999964225,
ASV5588,-4.687958494,,,,
ASV5590,-3.589700486,1.695034389,-2.117774429,0.036041045,
ASV5597,-6.448956224,,,,
ASV5607,18.03373221,,,,
ASV5609,-4.235419176,,,,
ASV5610,-2.067228657,0.969656142,-2.131919313,0.034837987,0.294444554
ASV5612,-2.922647934,1.685466695,-1.734028885,0.085212798,
ASV5618,-4.355257947,,,,
ASV5621,-1.542905865,3.261903653,-0.473007798,0.636977197,
ASV5623,-5.571348241,,,,
ASV5636,5.137140946,,,,
ASV5640,-0.664196519,1.82929451,-0.363088893,0.717110605,
ASV5645,-4.413886495,1.85439476,-2.380230245,0.018710151,
ASV5647,1.430552919,2.776815521,0.515177515,0.607277805,
ASV5651,6.688834789,1.57140148,4.256604612,3.88E-05,
ASV5656,4.875205578,1.660546738,2.93590386,0.00391527,
ASV5665,1.028163561,1.961111358,0.524275971,0.600952766,0.941629169
ASV5679,5.55135624,,,,
ASV5681,-4.742938704,,,,
ASV5686,-4.479609613,,,,
ASV5688,1.553721647,2.419291925,0.642221648,0.52182649,
ASV5693,3.864368582,1.522438141,2.538276254,0.012284038,
ASV5694,-4.778670244,1.357752032,-3.51954564,0.00059108,
ASV5697,-4.677165164,,,,
ASV5698,7.155303385,,,,
ASV5701,-20.11712261,416362.2155,-4.83E-05,0.999961521,
ASV5703,6.022999017,1.555912858,3.871038783,0.000168591,
ASV5705,-5.153869011,,,,
ASV5706,-5.65006308,1.745984963,-3.236031924,0.001527167,
ASV5709,-4.640761898,,,,
ASV5727,-6.286076066,,,,
ASV5728,4.717391774,1.409111702,3.34777702,0.001057723,
ASV5732,0.535689515,2.227599878,0.240478337,0.810326977,
ASV5734,-5.393265456,1.508914193,-3.574269154,0.000488925,
ASV5738,0.728620984,2.51097918,0.290174044,0.772131655,
ASV5740,2.040735163,0.878041985,2.324188589,0.021619453,
